num	question	a	b	c	d	solution
149	Wer wird meistens zur Präsidentin/zum Präsidenten des Deutschen Bundestages gewählt?	ein ehemaliger Bundeskanzler/eine ehemalige Bundeskanzlerin	eine Abgeordnete/ein Abgeordneter der stärksten Fraktion	der/die älteste Abgeordnete im Parlament	der Ministerpräsident/die Ministerpräsidentin des größten Bundeslandes	b
150	Wer ernennt in Deutschland die Ministerinnen/die Minister der Bundesregierung?	die Bundestagspräsidentin/der Bundestagspräsident	der Präsident/die Präsidentin des Bundesverfassungsgerichtes	der Bundesratspräsident/die Bundesratspräsidentin	der Bundespräsident/die Bundespräsidentin	d
151	Auf welcher rechtlichen Grundlage wurde der Staat Israel gegründet?	eine Resolution der Vereinten Nationen	ein Vorschlag der Bundesregierung	ein Vorschlag der UdSSR	ein Beschluss des Zionistenkongresses	a
152	In Deutschland gehören der Bundestag und der Bundesrat zur …	Judikative.	Direktive.	Exekutive.	Legislative.	d
153	Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …	Europawahl.	Landtagswahl.	Bundestagswahl.	Kommunalwahl.	b
154	Was gehört in Deutschland nicht zur Exekutive?	das Finanzamt	die Polizei	die Ministerien	die Gerichte	d
155	Die Bundesrepublik Deutschland ist heute gegliedert in …	16 Kantone.	vier Besatzungszonen.	Bund, Länder und Kommunen.	einen Oststaat und einen Weststaat.	c
156	Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …	die Bundesregierung zu kontrollieren.	den Bundeskanzler/die Bundeskanzlerin zu wählen.	Gesetze zu entwerfen.	das Bundeskabinett zu bilden.	d
157	Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?	Verteidigungspolitik	Schulpolitik	Außenpolitik	Wirtschaftspolitik	b
158	Warum kontrolliert der Staat in Deutschland das Schulwesen?	weil es in den Bundesländern verschiedene Schulen gibt	weil es in Deutschland nur staatliche Schulen gibt	weil es nach dem Grundgesetz seine Aufgabe ist	weil alle Schüler und Schülerinnen einen Schulabschluss haben müssen	c
159	Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?	Bezirksämter	Gemeinden	Stadträte	Landräte	b
160	Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten?	Er/Sie kontrolliert die Regierungspartei.	Er/Sie schlägt den Kanzler/die Kanzlerin zur Wahl vor.	Er/Sie führt die Regierungsgeschäfte.	Er/Sie wählt die Minister/Ministerinnen aus.	b
161	Wo hält sich der deutsche Bundeskanzler/die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er/sie …	auf Schloss Meseberg, dem Gästehaus der Bundesregierung, um Staatsgäste zu empfangen.	in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.	auf Schloss Bellevue, dem Amtssitz der Bundespräsidentin/des Bundespräsidenten, um Staatsgäste zu empfangen.	in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.	b
162	Wie heißt die jetzige Bundeskanzlerin/der jetzige Bundeskanzler von Deutschland?	Gerhard Schröder	Angela Merkel	Friedrich Merz	Ursula von der Leyen	c
163	Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …	CDU/CSU und AfD.	Die Linke und Bündnis 90/Die Grünen.	Bündnis 90/Die Grünen und SPD.	Die Linke und CDU/CSU.	a
164	Wie heißt das Parlament für ganz Deutschland?	Bundestag	Bundesversammlung	Bundesgerichtshof	Volkskammer	a
165	Wie heißt Deutschlands heutiges Staatsoberhaupt?	Bärbel Bas	Bodo Ramelow	Frank-Walter Steinmeier	Joachim Gauck	c
166	Was bedeutet die Abkürzung CDU in Deutschland?	Christlicher Deutscher Umweltschutz	Christlich Demokratische Union	Christliche Deutsche Union	Club Deutscher Unternehmer	b
167	Was ist die Bundeswehr?	ein deutscher Hafen	die deutsche Polizei	die deutsche Armee	eine deutsche Bürgerinitiative	c
168	Was bedeutet die Abkürzung SPD?	Sozialpolitische Partei Deutschlands	Sozialgerechte Partei Deutschlands	Sozialistische Partei Deutschlands	Sozialdemokratische Partei Deutschlands	d
169	Was bedeutet die Abkürzung FDP in Deutschland?	Freie Demokratische Partei	Führende Demokratische Partei	Friedliche Demonstrative Partei	Freie Deutschland Partei	a
170	Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?	Bundesverfassungsgericht	Verwaltungsgericht	Oberlandesgericht	Amtsgericht	a
171	Wer wählt die Bundeskanzlerin/den Bundeskanzler in Deutschland?	das Volk	der Bundesrat	der Bundestag	die Bundesversammlung	c
172	Wer leitet das deutsche Bundeskabinett?	der Bundespräsident/die Bundespräsidentin	der Bundesratspräsident/die Bundesratspräsidentin	der Bundeskanzler/die Bundeskanzlerin	der Bundestagspräsident/die Bundestagspräsidentin	c
173	Wer wählt die deutsche Bundeskanzlerin/den deutschen Bundeskanzler?	die Bundesversammlung	die Bundesregierung	das Volk	der Bundestag	d
174	Welche Hauptaufgabe hat die deutsche Bundespräsidentin/der deutsche Bundespräsident? Sie/Er ...	repräsentiert das Land.	regiert das Land.	überwacht die Einhaltung der Gesetze.	entwirft die Gesetze	a
175	Wer bildet den deutschen Bundesrat?	die Regierungsvertreter der Bundesländer	die Parteimitglieder	die Abgeordneten des Bundestages	die Minister und Ministerinnen der Bundesregierung	a
176	Wer wählt in Deutschland die Bundespräsidentin/den Bundespräsidenten ?	der Bundesrat	das Bundesverfassungsgericht	die Bundesversammlung	das Bundesparlament	c
177	Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?	der Bundespräsident/die Bundespräsidentin	der Bundestagspräsident/die Bundestagspräsidentin	der Bundeskanzler/die Bundeskanzlerin	der Bundesratspräsident/die Bundesratspräsidentin	a
178	Die parlamentarische Opposition im Deutschen Bundestag …	bestimmt, wer im Bundesrat sitzt.	schlägt die Regierungschefs/Regierungschefinnen der Länder vor.	kontrolliert die Regierung.	entscheidet, wer Bundesminister/Bundesministerin wird.	c
179	Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?	Fraktion	Opposition	Ältestenrat	Verband	a
180	Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …	den Bundestag.	die Bundesregierung.	den Bundesrat.	die Bundesversammlung.	c
181	In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …	leichter, wenn dadurch neue Parteien in den Bundesrat kommen.	leichter, wenn es sich um ein reiches Bundesland handelt.	schwieriger, wenn sich dadurch die Mehrheit im Bundestag ändert.	schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.	d
182	Was bedeutet die Abkürzung CSU in Deutschland?	Christlich Süddeutsche Union	Christlich Sozialer Unternehmerverband	Christlich Soziale Union	Christlich Sichere Union	c
183	Je mehr "Zweitstimmen" eine Partei bei einer Bundestagswahl bekommt, desto …	mehr Sitze erhält die Partei im Parlament.	größer ist das Risiko, eine Koalition bilden zu müssen.	weniger Erststimmen kann sie haben.	mehr Direktkandidaten der Partei ziehen ins Parlament ein.	a
184	Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?	23	21	16	18	d
185	Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, …	kann die Regierung ihre Mehrheit verlieren.	muss der Bundespräsident/die Bundespräsidentin zuvor sein/ihr Einverständnis geben.	dürfen die Wähler/Wählerinnen dieser Abgeordneten noch einmal wählen.	dürfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen	a
186	Was wird in Deutschland als "Ampelkoalition" bezeichnet? Die Zusammenarbeit …	von CSU, Die LINKE und Bündnis 90/Die Grünen in einer Regierung	der Bundestagsfraktionen von CDU und SPD	der Bundestagsfraktionen von CDU und CSU	von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung	d
187	Was ist eine Aufgabe von Wahlhelferinnen/Wahlhelfern in Deutschland?	Sie geben Zwischenergebnisse an die Medien weiter.	Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine.	Sie zählen die Stimmen nach dem Ende der Wahl.	Sie schreiben die Wahlbenachrichtigungen vor der Wahl.	c
188	In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern/Wahlhelferinnen?	Sie schreiben Karten und Briefe mit der Angabe des Wahllokals.	Sie geben Zwischenergebnisse an Journalisten weiter.	Sie zählen die Stimmen nach dem Ende der Wahl.	Sie helfen Kindern und alten Menschen beim Wählen.	c
189	Für wie viele Jahre wird der Bundestag in Deutschland gewählt?	2 Jahre	4 Jahre	6 Jahre	8 Jahre	b
190	Bei einer Bundestagswahl in Deutschland darf jeder wählen, die/der …	seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.	Bürger/Bürgerin der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.	in der Bundesrepublik Deutschland wohnt und wählen möchte.	Bürger/Bürgerin der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.	d
191	Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?	alle drei Jahre	alle vier Jahre	alle fünf Jahre	alle sechs Jahre	b
192	Für wie viele Jahre wird der Bundestag in Deutschland gewählt?	2 Jahre	3 Jahre	4 Jahre	5 Jahre	c
193	Woraus begründet sich Deutschlands besondere Verantwortung für Israel?	aus dem Grundgesetz der Bundesrepublik Deutschland	aus der Mitgliedschaft in der Europäischen Union (EU)	aus den nationalsozialistischen Verbrechen gegen Juden	aus der christlichen Tradition	c
194	Die Wahlen in Deutschland sind …	berufsbezogen.	speziell.	geschlechtsabhängig.	geheim.	d
195	Wahlen in Deutschland gewinnt die Partei, die …	die meisten Männer mehrheitlich gewählt haben.	die meisten Stimmen bei den Arbeitern/Arbeiterinnen bekommen hat.	die meisten Erststimmen für ihren Kanzlerkandidaten /ihre Kanzlerkandidatin erhalten hat.	die meisten Stimmen bekommt.	d
196	An demokratischen Wahlen in Deutschland teilzunehmen ist …	ein Zwang.	eine Last.	ein Recht.	eine Pflicht.	c
197	Was bedeutet "aktives Wahlrecht" in Deutschland?	Man muss zur Auszählung der Stimmen gehen.	Man kann wählen.	Man kann gewählt werden.	Man muss wählen gehen.	b
198	Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …	aktives Wahlrecht.	aktiver Wahlkampf.	aktive Wahlkampagne.	aktives Wahlverfahren.	a
199	Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?	3%	4%	5%	6%	c
200	Was ist ein Beispiel für antisemitisches Verhalten?	ein jüdisches Fest besuchen	den Holocaust leugnen	gegen Juden Fußball spielen	die israelische Regierung kritisieren	b
201	Wahlen in Deutschland sind frei. Was bedeutet das?	Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte.	Ich kann frei entscheiden, wo ich wählen gehen möchte.	Alle verurteilten Straftäter/Straftäterinnen dürfen nicht wählen.	Wenn ich wählen gehen möchte, muss mein Arbeitgeber/meine Arbeitgeberin mir frei geben	a
202	Das Wahlsystem in Deutschland ist ein …	allgemeines Männerwahlrecht.	Mehrheits- und Verhältniswahlrecht.	Dreiklassenwahlrecht.	Zensuswahlrecht.	b
203	Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …	Basiswert.	5 %-Hürde.	Richtlinie.	Zulassungsgrenze.	b
204	Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …	geschlossen, gleich, sicher.	frei, gleich, geheim.	sicher, offen, freiwillig.	offen, sicher, frei.	b
205	Was ist in Deutschland die "5 %-Hürde"?	Anwesenheitskontrolle im Bundestag für Abstimmungen	Mindestanteil an Wählerstimmen, um ins Parlament zu kommen	Anwesenheitskontrolle im Bundesrat für Abstimmungen	Abstimmungsregelung im Bundestag für kleine Parteien	b
206	Die Bundestagswahl in Deutschland ist die Wahl …	der Parlamente der Länder.	des Bundespräsidenten/der Bundespräsidentin.	des Bundeskanzlers/der Bundeskanzlerin.	des Parlaments für Deutschland.	d
207	In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …	im Land bestehende Gesetze beizubehalten.	den Armen mehr Macht zu geben.	die Bürger und Bürgerinnen zu zwingen, ihre Stimme abzugeben.	nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.	d
208	Was bekommen wahlberechtigte Bürgerinnen und Bürger in Deutschland vor einer Wahl?	eine Benachrichtigung von der Bundesversammlung	eine Benachrichtigung vom Pfarramt	eine Wahlbenachrichtigung von der Gemeinde	eine Wahlerlaubnis vom Bundespräsidenten/von der Bundespräsidentin	c
209	Warum gibt es die 5 %-Hürde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil …	viele kleine Parteien die Regierungsbildung erschweren.	die kleinen Parteien nicht so viel Geld haben, um die Politiker und Politikerinnen zu bezahlen.	die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben.	die Bürgerinnen und Bürger bei vielen kleinen Parteien die Orientierung verlieren können.	a
210	Parlamentsmitglieder, die von den Bürgerinnen und Bürgern gewählt werden, nennt man …	Botschafter/Botschafterinnen.	Ministerpräsidenten/Ministerpräsidentinnen.	Abgeordnete.	Kanzler/Kanzlerinnen.	c
211	Vom Volk gewählt wird in Deutschland …	der Bundespräsident/die Bundespräsidentin.	der Bundestag.	der Ministerpräsident/die Ministerpräsidentin eines Bundeslandes.	der Bundeskanzler/die Bundeskanzlerin.	b
212	Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?	1	2	3	4	a
213	Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?	Man kann durch Briefwahl seine Stimme abgeben.	Man kann am Wahltag telefonisch seine Stimme abgeben.	Kinder ab dem Alter von 14 Jahren dürfen wählen.	Der Ehemann wählt für seine Frau mit.	a
214	In Deutschland sind die meisten Erwerbstätigen …	bei einer Firma oder Behörde beschäftigt.	selbständig mit einer eigenen Firma tätig.	in kleinen Familienunternehmen beschäftigt.	ehrenamtlich für ein Bundesland tätig.	a
215	Die Wirtschaftsform in Deutschland nennt man …	Planwirtschaft.	gelenkte Zentralwirtschaft.	freie Zentralwirtschaft.	soziale Marktwirtschaft.	d
216	Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?	Kindergeld	Wohngeld	Sozialhilfe	Sozialversicherung	d
217	Wer bezahlt in Deutschland die Sozialversicherungen?	nur Arbeitgeberinnen/Arbeitgeber	alle Staatsangehörigen	Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer	nur Arbeitnehmerinnen/Arbeitnehmer	c
218	Was gehört nicht zur gesetzlichen Sozialversicherung?	die Pflegeversicherung	die Lebensversicherung	die gesetzliche Rentenversicherung	die Arbeitslosenversicherung	b
219	Gewerkschaften sind Interessenverbände der …	Renterinnen und Rentner.	Arbeitgeberinnen und Arbeitgeber.	Arbeitnehmerinnen und Arbeitnehmer.	Jugendlichen.	c
220	Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …	Bundesadler	Ehrentitel "Held der Deutschen Demokratischen Republik"	Bundesverdienstkreuz	Vaterländischen Verdienstorden	c
221	Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?	Die Frau kam oft zu spät zur Arbeit.	Die Frau bekommt ein Kind und ihr Chef weiß das.	Die Frau ist lange krank und arbeitsunfähig.	Die Frau erledigt private Sachen während der Arbeitszeit.	b
222	Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?	Sie arbeiten in der Bundesregierung.	Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.	Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.	Sie arbeiten als Soldatinnen/Soldaten.	c
223	Wen vertreten die Gewerkschaften in Deutschland?	kleine Unternehmen	Arbeitnehmerinnen und Arbeitnehmer	grosse Unternehmen	Selbstständige	b
224	Sie gehen in Deutschland zum Arbeitsgericht bei …	ungerechtfertigter Kündigung durch Ihren Chef/Ihre Chefin.	Schwierigkeiten nach einem Verkehrsunfall.	falscher Nebenkostenabrechnung.	Problemen mit den Nachbarn/Nachbarinnen.	a
225	Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?	das Strafgericht	das Arbeitsgericht	das Amtsgericht	das Familiengericht	b
226	Soziale Marktwirtschaft bedeutet, die Wirtschaft …	wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht berücksichtigt.	richtet sich nach der Nachfrage im Ausland.	richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich.	steuert sich allein nach Angebot und Nachfrage.	c
227	Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders beschützt. Wie heißt dieser Schutz?	Geburtsvorbereitung	Elternzeit	Wochenbett	Mutterschutz	d
228	Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?	eine Genehmigung des Einwohnermeldeamts	eine Genehmigung einer Partei	eine Erlaubnis der Polizei	eine Gaststättenerlaubnis von der zuständigen Behörde	d
229	Welches Ehrenamt müssen deutsche Staatsbürgerinnen und Staatsbürger übernehmen, wenn sie dazu aufgefordert werden?	Bibliotheksaufsicht	Vereinstrainerin/Vereinstrainer	Lehrerin/Lehrer	Wahlhelferin/Wahlhelfer	d
230	Was man für die Arbeit können muss, ändert sich in Zukunft sehr schnell. Was kann man tun?	Kinder lernen in der Schule alles, was im Beruf wichtig ist. Nach der Schule muss man nicht weiter lernen.	Alle müssen früher aufhören zu arbeiten, weil sich alles ändert.	Es ist egal, was man lernt.	Erwachsene müssen auch nach der Ausbildung immer weiter lernen.	d
231	Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem Büro. Was muss sie nicht von ihrem Gehalt bezahlen?	Beiträge zur Arbeitslosenversicherung	Beiträge zur Renten- und Krankenversicherung	Umsatzsteuer	Lohnsteuer	c
232	Welche Organisation in einer Firma hilft den Arbeitnehmern und Arbeitnehmerinnen bei Problemen mit der Arbeitgeberin/dem Arbeitgeber?	der Betriebsprüfer/die Betriebsprüferin	das Betriebsmanagement	der Betriebsrat	die Betriebsgruppe	c
233	Sie möchten bei einer Firma in Deutschland Ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?	die Kündigungsfrist	die Versicherungspflicht	die Gehaltszahlungen	die Arbeitszeit	a
234	Was kann ich in Deutschland machen, wenn mir meine Arbeitgeberin/mein Arbeitgeber zu Unrecht gekündigt hat?	Kündigungsschutzklage erheben	die Arbeitgeberin/den Arbeitgeber bei der Polizei anzeigen	weiterarbeiten und freundlich zur Chefin/zum Chef sein	ein Mahnverfahren gegen den Arbeitgeber/die Arbeitgeberin führen	a
235	Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand ...	eine andere Meinung als die der Regierung vertritt	sein Auto falsch geparkt hat und es abgeschleppt wird	zu einer anderen Religion übertritt	eine Straftat begangen hat und angeklagt wird	d
236	Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?	eine Schöffin/ein Schöffe	eine Staatsanwältin/ein Staatsanwalt	eine Rechtsanwältin/ein Rechtsanwalt	eine Richterin/ein Richter	c
237	Was ist die Hauptaufgabe einer Richterin/eines Richters in Deutschland? Eine Richterin/ein Richter …	ändert Gesetze	betreut Jugendliche vor Gericht	vertritt Bürger und Bürgerinnen vor einem Gericht	arbeitet an einem Gericht und spricht Urteile	d
238	Was macht ein Schöffe/eine Schöffin in Deutschland? Er/Sie …	verteidigt den Angeklagten/die Angeklagte	stellt Urkunden aus	gibt Bürgern/Bürgerinnen rechtlichen Rat	entscheidet mit Richtern/Richterinnen über Schuld und Strafe	d
239	Ein Richter/eine Richterin in Deutschland gehört zur …	Operative	Exekutive.	Judikative	Legislative	c
240	Ein Richter/eine Richterin gehört in Deutschland zur …	rechtsprechenden Gewalt.	vollziehenden Gewalt.	gesetzgebenden Gewalt.	planenden Gewalt.	a
241	In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet ein Richter/eine Richterin? Für die …	Legislative	Judikative	Exekutive	Presse	b
242	Wie nennt man in Deutschland ein Verfahren vor einem Gericht?	Protokoll	Prozess	Programm	Prozedur	b
243	Was ist die Arbeit eines Richters/einer Richterin in Deutschland?	Recht sprechen	Pläne erstellen	Gesetze erlasse	Deutschland regieren	a
244	Was ist eine Aufgabe der Polizei in Deutschland?	die Bürgerinnen und Bürger abzuhören	das Land zu verteidigen	die Einhaltung von Gesetzen zu überwachen	die Gesetze zu beschließen	c
245	Wie kann jemand, der den Holocaust leugnet, bestraft werden?	gar nicht, Holocaustleugnung ist erlaubt	Kürzung sozialer Leistungen	mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe	bis zu 100 Sozialstunden	c
246	Ein Gerichtsschöffe/eine Gerichtsschöffin in Deutschland ist …	ein Mitglied eines Gemeinderats.	eine Person, die Jura studiert hat	der Stellvertreter/die Stellvertreterin des Stadtoberhaupts	ein ehrenamtlicher Richter/eine ehrenamtliche Richterin	d
247	Was gilt für die meisten Kinder in Deutschland?	Schulpflicht	Religionspflicht	Schweigepflicht	Wahlpflicht	a
248	Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?	nur Deutsche	nur Israelis	alle Menschen	nur religiöse Menschen	c
249	Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?	Sie muss das Arbeitsamt um Erlaubnis bitten	Sie muss an ihre Krankenkasse schreiben	Sie muss nichts tun, denn sie bekommt automatisch Elterngeld	Sie muss einen Antrag bei der Elterngeldstelle stellen	d
250	Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?	die Bundesländer	die Schulen	der Staat	die Eltern/die Erziehungsberechtigten	d
251	Welchen Schulabschluss braucht man normalerweise, um an einer Universität in Deutschland ein Studium zu beginnen?	das Abitur	die Prokura	eine Gesellenprüfung	ein Diplom	a
252	Wer darf in Deutschland nicht als Paar zusammenleben?	Hans (20 Jahre) und Marie (19 Jahre)	Sofie (35 Jahre) und Lisa (40 Jahre)	Tom (20 Jahre) und Klaus (45 Jahre)	Anne (13 Jahre) und Tim (25 Jahre)	d
253	Ab welchem Alter ist man in Deutschland volljährig?	16	18	19	21	b
254	Die Erziehung der Kinder ist in Deutschland vor allem Aufgabe …	der Eltern	der Schulen	der Großeltern	des Staates	a
255	Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?	der Staat	die Verwandten	der Eltern	der Schulen	c
256	Wenn man in Deutschland ein Kind schlägt, …	geht das nur die Familie etwas an	geht das niemanden etwas an	kann man dafür bestraft werden	kann man dafür nicht bestraft werden	c
257	In Deutschland …	kann man mehrere Ehepartnerinnen/Ehepartner gleichzeitig haben.	darf man zur gleichen Zeit nur mit einer Partnerin/einem Partner verheiratet sein.	darf eine Frau nicht wieder heiraten, wenn ihr Mann gestorben ist.	darf man nicht wieder heiraten, wenn man einmal verheiratet war.	b
258	In Deutschland dürfen Ehepaare sich scheiden lassen. Meistens müssen sie dazu das "Trennungsjahr" einhalten. Was bedeutet das?	Die Ehegatten sind ein Jahr verheiratet, dann ist die Scheidung möglich.	Der Scheidungsprozess dauert ein Jahr.	Die Ehegatten führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.	Das Besuchsrecht für die Kinder gilt ein Jahr.	c
259	Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom …	Ordnungsamt.	Jugendamt.	Schulamt.	Gesundheitsamt.	b
260	Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an …	einer Privatuniversität	einem Abendgymnasium	einer Hauptschule	einer Hochschule.	b
261	In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man …	eine Frau ist.	katholisch ist.	Mitglied einer Partei ist.	gut ausgebildet ist.	d
262	Was darf das Jugendamt in Deutschland?	Es kontrolliert, ob das Kind einen Kindergarten besucht.	Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen.	Es bezahlt das Kindergeld an die Eltern.	Es entscheidet, welche Schule das Kind besucht.	b
263	Das Berufsinformationszentrum BIZ bei der Bundesagentur für Arbeit in Deutschland hilft bei der …	Lehrstellensuche	Steuererklärung	Rentenberechnung	Krankenversicherung	a
264	In Deutschland hat ein Kind in der Schule…	Wahlfreiheit für alle Fächer.	Recht auf unbegrenzte Freizeit.	Anwesenheitspflicht.	Anspruch auf Schulgeld.	c
265	Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An …	einer Hauptschule	einem Abendgymnasium	einer Hochschule	einer Privatuniversität	b
266	In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, …	werden bestraft.	teilen die Strafe mit ihren Eltern.	werden wie Erwachsene behandelt.	werden nicht bestraft.	a
267	Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gefällt. Was können die Eltern tun?	Sie können zur Polizei gehen und die Tochter anzeigen.	Sie haben das Recht, die Tochter in die elterliche Wohnung zurückzuholen.	Sie suchen einen anderen Mann für die Tochter.	Sie müssen die Entscheidung der volljährigen Tochter respektieren.	d
268	Eine junge Frau will den Führerschein machen. Sie hat Angst vor der Prüfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?	Wenn sie kein Deutsch kann, darf sie keinen Führerschein haben.	Sie muss den Führerschein in dem Land machen, in dem man ihre Sprache spricht.	Sie kann die Theorie-Prüfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.	Sie muss mindestens zehn Jahre in Deutschland leben, bevor sie den Führerschein machen kann.	c
269	In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf …	einen Platz in einem Sportverein.	einen Kindergartenplatz.	monatliches Taschengeld.	einen Ferienpass.	b
270	Die Volkshochschule in Deutschland ist eine Einrichtung …	zur Weiterbildung.	für den Religionsunterricht.	nur für Jugendliche.	nur für Rentner und Rentnerinnen.	a
271	Bei Erziehungsproblemen gehen Sie in Deutschland …	zum Arzt/zur Ärztin	zum Jugendamt	zum Gesundheitsamt	zum Einwohnermeldeamt	b
272	Was braucht man in Deutschland für eine Ehescheidung?	die Einwilligung der Eltern	die Unterstützung eines Anwalts/einer Anwältin	ein Attest eines Arztes/einer Ärztin	die Einwilligung der Kinder	b
273	Die Bundesrepublik Deutschland ist ein Gründungsmitglied …	der Europäischen Union (EU)	des Nordatlantikpakts (NATO)	des Warschauer Pakts	der Vereinten Nationen (VN)	a
274	Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?	Alle Menschen können ohne Personenkontrolle in Deutschland einreisen	Deutsche können in viele Länder Europas ohne Passkontrolle reisen	Deutsche können in jedem Land mit dem Euro bezahlen	Deutsche können ohne Passkontrolle in jedes Land reisen	b
275	Welches Land ist ein Nachbarland von Deutschland?	Spanien	Portugal	Ungarn	Schweiz	d
276	Welches Land ist ein Nachbarland von Deutschland?	Griechenland	Bulgarien	Rumänien	Polen	d
277	Welche Lebensform ist in Deutschland nicht erlaubt?	Ein alleinerziehender Vater lebt mit seinen zwei Kindern zusammen.	Mann und Frau sind geschieden und leben mit neuen Partnern zusammen	Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet	Zwei Frauen leben zusammen	c
